2025-12-21 13:16:10,045 - INFO - New connection from ('127.0.0.1', 58410). Active: 1
2025-12-21 13:16:10,046 - INFO - Connection closed: ('127.0.0.1', 58410). Active: 0
2025-12-21 13:16:13,124 - INFO - New connection from ('127.0.0.1', 58411). Active: 1
2025-12-21 13:16:13,126 - INFO - Connection closed: ('127.0.0.1', 58411). Active: 0
2025-12-21 13:16:16,335 - INFO - New connection from ('127.0.0.1', 58413). Active: 1
2025-12-21 13:16:16,336 - INFO - Connection closed: ('127.0.0.1', 58413). Active: 0
2025-12-21 13:16:20,341 - INFO - New connection from ('127.0.0.1', 58414). Active: 1
2025-12-21 13:16:20,342 - INFO - Connection closed: ('127.0.0.1', 58414). Active: 0
2025-12-21 13:16:24,339 - INFO - New connection from ('127.0.0.1', 58415). Active: 1
2025-12-21 13:16:24,340 - INFO - Connection closed: ('127.0.0.1', 58415). Active: 0
2025-12-21 13:16:28,329 - INFO - New connection from ('127.0.0.1', 58417). Active: 1
2025-12-21 13:16:28,330 - INFO - Connection closed: ('127.0.0.1', 58417). Active: 0
2025-12-21 13:16:32,335 - INFO - New connection from ('127.0.0.1', 58418). Active: 1
2025-12-21 13:16:32,336 - INFO - Connection closed: ('127.0.0.1', 58418). Active: 0
2025-12-21 13:16:36,582 - INFO - New connection from ('127.0.0.1', 58419). Active: 1
2025-12-21 13:16:36,583 - INFO - Connection closed: ('127.0.0.1', 58419). Active: 0
2025-12-21 13:16:40,342 - INFO - New connection from ('127.0.0.1', 58423). Active: 1
2025-12-21 13:16:40,342 - INFO - Connection closed: ('127.0.0.1', 58423). Active: 0
2025-12-21 13:16:44,341 - INFO - New connection from ('127.0.0.1', 58424). Active: 1
2025-12-21 13:16:44,342 - INFO - Connection closed: ('127.0.0.1', 58424). Active: 0
2025-12-21 13:16:48,334 - INFO - New connection from ('127.0.0.1', 58425). Active: 1
2025-12-21 13:16:48,336 - INFO - Connection closed: ('127.0.0.1', 58425). Active: 0
2025-12-21 13:16:52,330 - INFO - New connection from ('127.0.0.1', 58426). Active: 1
2025-12-21 13:16:52,331 - INFO - Connection closed: ('127.0.0.1', 58426). Active: 0
2025-12-21 13:16:56,327 - INFO - New connection from ('127.0.0.1', 58427). Active: 1
2025-12-21 13:16:56,328 - INFO - Connection closed: ('127.0.0.1', 58427). Active: 0
2025-12-21 13:17:00,328 - INFO - New connection from ('127.0.0.1', 58429). Active: 1
2025-12-21 13:17:00,329 - INFO - Connection closed: ('127.0.0.1', 58429). Active: 0
2025-12-21 13:17:04,333 - INFO - New connection from ('127.0.0.1', 58430). Active: 1
2025-12-21 13:17:04,334 - INFO - Connection closed: ('127.0.0.1', 58430). Active: 0
2025-12-21 13:17:08,339 - INFO - New connection from ('127.0.0.1', 58431). Active: 1
2025-12-21 13:17:08,340 - INFO - Connection closed: ('127.0.0.1', 58431). Active: 0
2025-12-21 13:17:12,328 - INFO - New connection from ('127.0.0.1', 58432). Active: 1
2025-12-21 13:17:12,328 - INFO - Connection closed: ('127.0.0.1', 58432). Active: 0
2025-12-21 13:17:16,333 - INFO - New connection from ('127.0.0.1', 58433). Active: 1
2025-12-21 13:17:16,334 - INFO - Connection closed: ('127.0.0.1', 58433). Active: 0
2025-12-21 13:17:20,331 - INFO - New connection from ('127.0.0.1', 58437). Active: 1
2025-12-21 13:17:20,332 - INFO - Connection closed: ('127.0.0.1', 58437). Active: 0
2025-12-21 13:17:24,381 - INFO - New connection from ('127.0.0.1', 58438). Active: 1
2025-12-21 13:17:24,383 - INFO - Connection closed: ('127.0.0.1', 58438). Active: 0
2025-12-21 13:17:28,344 - INFO - New connection from ('127.0.0.1', 58439). Active: 1
2025-12-21 13:17:28,345 - INFO - Connection closed: ('127.0.0.1', 58439). Active: 0
2025-12-21 13:17:32,332 - INFO - New connection from ('127.0.0.1', 58440). Active: 1
2025-12-21 13:17:32,333 - INFO - Connection closed: ('127.0.0.1', 58440). Active: 0
2025-12-21 13:17:36,420 - INFO - New connection from ('127.0.0.1', 58441). Active: 1
2025-12-21 13:17:36,422 - INFO - Connection closed: ('127.0.0.1', 58441). Active: 0
2025-12-21 13:17:40,333 - INFO - New connection from ('127.0.0.1', 58442). Active: 1
2025-12-21 13:17:40,334 - INFO - Connection closed: ('127.0.0.1', 58442). Active: 0
2025-12-21 13:17:44,336 - INFO - New connection from ('127.0.0.1', 58444). Active: 1
2025-12-21 13:17:44,337 - INFO - Connection closed: ('127.0.0.1', 58444). Active: 0
2025-12-21 13:17:48,368 - INFO - New connection from ('127.0.0.1', 58445). Active: 1
2025-12-21 13:17:48,369 - INFO - Connection closed: ('127.0.0.1', 58445). Active: 0
2025-12-21 13:17:52,336 - INFO - New connection from ('127.0.0.1', 58446). Active: 1
2025-12-21 13:17:52,338 - INFO - Connection closed: ('127.0.0.1', 58446). Active: 0
2025-12-21 13:17:56,339 - INFO - New connection from ('127.0.0.1', 58447). Active: 1
2025-12-21 13:17:56,339 - INFO - Connection closed: ('127.0.0.1', 58447). Active: 0
2025-12-21 13:18:00,379 - INFO - New connection from ('127.0.0.1', 58448). Active: 1
2025-12-21 13:18:00,382 - INFO - Connection closed: ('127.0.0.1', 58448). Active: 0
2025-12-21 13:18:04,332 - INFO - New connection from ('127.0.0.1', 58449). Active: 1
2025-12-21 13:18:04,334 - INFO - Connection closed: ('127.0.0.1', 58449). Active: 0
2025-12-21 13:18:08,341 - INFO - New connection from ('127.0.0.1', 58450). Active: 1
2025-12-21 13:18:08,342 - INFO - Connection closed: ('127.0.0.1', 58450). Active: 0
2025-12-21 13:18:12,344 - INFO - New connection from ('127.0.0.1', 58451). Active: 1
2025-12-21 13:18:12,345 - INFO - Connection closed: ('127.0.0.1', 58451). Active: 0
2025-12-21 13:18:14,536 - INFO - New connection from ('127.0.0.1', 58452). Active: 1
2025-12-21 13:18:14,537 - INFO - Connection closed: ('127.0.0.1', 58452). Active: 0
2025-12-21 13:18:15,716 - INFO - New connection from ('127.0.0.1', 58453). Active: 1
2025-12-21 13:18:15,717 - INFO - Connection closed: ('127.0.0.1', 58453). Active: 0
2025-12-21 13:18:18,775 - INFO - New connection from ('127.0.0.1', 58455). Active: 1
2025-12-21 13:18:18,775 - INFO - Connection closed: ('127.0.0.1', 58455). Active: 0
2025-12-21 13:18:21,845 - INFO - New connection from ('127.0.0.1', 58456). Active: 1
2025-12-21 13:18:21,846 - INFO - Connection closed: ('127.0.0.1', 58456). Active: 0
2025-12-21 13:18:24,939 - INFO - New connection from ('127.0.0.1', 58457). Active: 1
2025-12-21 13:18:24,940 - INFO - Connection closed: ('127.0.0.1', 58457). Active: 0
2025-12-21 13:20:20,108 - INFO - New connection from ('127.0.0.1', 58466). Active: 1
